,SECTION,MONTH,STREET_RATING_AVG,STREETS_CNT,STREETS_ACCEPTABLE_CNT,STREETS_ACCEPTABLE_MILES,STREETS_FILTHY_MILES,STREETS_FILTHY_CNT,SIDEWALK_RATING_AVG,SIDEWALKS_CNT,SIDEWALKS_ACCEPTABLE_CNT,SIDEWALKS_ACCEPTABLE_MILES,SIDEWALKS_FILTHY_CNT,SIDEWALKS_FILTHY_MILES,LINEAR_MILES
0,BKN011,,,,,,,,,,,,,,29.0
1,BKN012,,,,,,,,,,,,,,28.0
2,BKN013,,,,,,,,,,,,,,43.0
3,BKN014,,,,,,,,,,,,,,28.0
4,BKN015,,,,,,,,,,,,,,36.0
5,BKN021,,,,,,,,,,,,,,49.0
6,BKN022,,,,,,,,,,,,,,14.0
7,BKN023,,,,,,,,,,,,,,13.0
8,BKN024,,,,,,,,,,,,,,34.0
9,BKN031,,,,,,,,,,,,,,25.0
10,BKN032,,,,,,,,,,,,,,16.0
11,BKN033,,,,,,,,,,,,,,21.0
12,BKN034,,,,,,,,,,,,,,19.0
13,BKN035,,,,,,,,,,,,,,20.0
14,BKN041,,,,,,,,,,,,,,21.0
15,BKN042,,,,,,,,,,,,,,23.0
16,BKN043,,,,,,,,,,,,,,19.0
17,BKN051,,,,,,,,,,,,,,39.0
18,BKN052,,,,,,,,,,,,,,34.0
19,BKN053,,,,,,,,,,,,,,57.0
20,BKN054,,,,,,,,,,,,,,57.0
21,BKN081,,,,,,,,,,,,,,17.0
22,BKN082,,,,,,,,,,,,,,17.0
23,BKN083,,,,,,,,,,,,,,19.0
24,BKN091,,,,,,,,,,,,,,21.0
25,BKN092,,,,,,,,,,,,,,16.0
26,BKN093,,,,,,,,,,,,,,18.0
27,BKN161,,,,,,,,,,,,,,35.0
28,BKN162,,,,,,,,,,,,,,35.0
29,BKN171,,,,,,,,,,,,,,17.0
30,BKN172,202111.0,1.2374999999999998,1.0,10.0,13.361,0.0,0.0,1.2374999999999998,1.0,10.0,13.361,0.0,0.0,13.0
31,BKN173,,,,,,,,,,,,,,30.0
32,BKN174,,,,,,,,,,,,,,13.0
33,BKN175,,,,,,,,,,,,,,34.0
34,BKS061,,,,,,,,,,,,,,39.0
35,BKS062,,,,,,,,,,,,,,17.0
36,BKS063,,,,,,,,,,,,,,18.0
37,BKS064,,,,,,,,,,,,,,17.0
38,BKS065,,,,,,,,,,,,,,14.0
39,BKS071,,,,,,,,,,,,,,25.0
40,BKS072,,,,,,,,,,,,,,37.0
41,BKS073,,,,,,,,,,,,,,16.0
42,BKS074,,,,,,,,,,,,,,19.0
43,BKS101,,,,,,,,,,,,,,30.0
44,BKS102,,,,,,,,,,,,,,27.0
45,BKS103,,,,,,,,,,,,,,45.0
46,BKS104,,,,,,,,,,,,,,47.0
47,BKS111,,,,,,,,,,,,,,15.0
48,BKS112,,,,,,,,,,,,,,19.0
49,BKS113,,,,,,,,,,,,,,15.0
50,BKS114,,,,,,,,,,,,,,23.0
51,BKS115,,,,,,,,,,,,,,26.0
52,BKS116,,,,,,,,,,,,,,21.0
53,BKS121,,,,,,,,,,,,,,16.0
