,BidName,BidHumanName,SECTION,LINEAR_MILES
0,,,BKN011,29.08803468
1,,,BKN012,27.97458702
2,,,BKN013,42.98376983
3,,,BKN014,28.13781871
4,,,BKN015,35.61769304
5,DUMBO,DUMBO,BKN021,48.65740775
6,,,BKN022,14.14798421
7,,,BKN023,13.31033179
8,,,BKN024,34.25061918
9,,,BKN031,25.23970014
10,,,BKN032,15.67502515
11,,,BKN033,21.20284976
12,,,BKN034,19.33884573
13,,,BKN035,20.46282387
14,,,BKN041,21.35814659
15,,,BKN042,23.05728224
16,,,BKN043,19.21657829
17,,,BKN051,38.83324435
18,,,BKN052,34.06451369
19,,,BKN053,56.91288709
20,,,BKN054,57.29479162
21,,,BKN081,17.27942094
22,,,BKN082,16.70042406
23,,,BKN083,18.85059733
24,,,BKN091,21.15954765
25,,,BKN092,16.03149019
26,,,BKN093,18.19544803
27,,,BKN161,35.46182498
28,,,BKN162,35.47679327
29,,,BKN171,16.77432016
30,,,BKN172,13.36108594
31,,,BKN173,30.34296661
32,,,BKN174,12.52297467
33,,,BKN175,33.72961109
34,,,BKS061,39.4775309
35,,,BKS062,17.33025627
36,,,BKS063,17.87006038
37,,,BKS064,17.06938803
38,,,BKS065,14.40436052
39,,,BKS071,25.45331554
40,,,BKS072,37.39138966
41,,,BKS073,16.36778312
42,,,BKS074,19.32061702
43,,,BKS101,29.73858266
44,,,BKS102,27.40893309
45,,,BKS103,44.79130519
46,,,BKS104,46.65587291
47,,,BKS111,15.04122895
48,,,BKS112,18.872406
49,,,BKS113,14.91609649
50,,,BKS114,23.33869208
51,,,BKS115,26.26770407
52,,,BKS116,21.01911704
53,,,BKS121,16.2132404
54,,,BKS122,12.12666231
55,,,BKS123,14.78953126
56,,,BKS124,19.00596218
57,,,BKS125,19.30648161
58,,,BKS126,23.09547257
59,,,BKS131,30.89384489
60,,,BKS132,63.42335479
61,,,BKS141,17.11392413
62,,,BKS142,22.8574116
63,,,BKS143,26.05105922
64,,,BKS144,24.73821531
65,,,BKS151,26.54461232
66,,,BKS152,32.42849579
67,,,BKS153,46.80374853
68,,,BKS154,50.16488986
69,,,BKS155,23.67940715
70,,,BKS181,36.28211935
71,,,BKS182,30.7458293
72,,,BKS183,24.80039755
73,,,BKS184,44.10870047
74,,,BKS185,27.178988
75,,,BKS186,28.76015827
76,,,BKS187,47.30860012
77,,,BX011,41.7537123
78,,,BX012,48.72509503
79,,,BX021,77.18765375
80,,,BX031,54.88469039
81,,,BX041,30.91224647
82,,,BX042,22.68429223
83,,,BX043,31.39230004
84,,,BX051,30.51576275
85,,,BX052,15.74421856
86,,,BX053,12.72147001
87,,,BX061,28.49195015
88,,,BX062,38.32070813
89,,,BX071,20.84137551
90,,,BX072,31.21994192
91,,,BX073,17.56390758
92,,,BX081,17.39694793
93,,,BX082,22.9509128
94,,,BX083,62.36470288
95,,,BX091,53.0249489
96,,,BX092,26.22977819
97,,,BX093,25.11076769
98,,,BX094,51.68542122
99,,,BX101,49.5299633
100,,,BX102,76.83084868
101,,,BX103,65.21733306
102,,,BX111,34.1614364
103,,,BX112,46.94876892
104,,,BX113,34.64361021
105,,,BX121,25.58992816
106,,,BX122,28.4487445
107,,,BX123,30.43515615
108,,,BX124,25.73260859
