BidIdentifier,BidName,BIDHumanName
10226000496_102260496_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226000817_102260817_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226000843_102260843_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226000864_102260864_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226000906_102260906_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226000907_102260907_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226000997_102260997_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226001033_102261033_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226001068_102261068_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226001099_102261099_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226001301_102261301_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226001303_102261303_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226001370_102261370_QW01_QW015_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226001482_102261482_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226001487_102261487_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226001560_102261560_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226001561_102261561_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226001625_102261625_QW01_QW014_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226001626_102261626_QW01_QW014_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226001632_102261632_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226001633_102261633_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226001642_102261642_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226001813_102261813_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226002106_102262106_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226002159_102262159_QW01_QW016_LongIslandCity,LongIslandCity,Long Island City
10226002316_102262316_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226002505_102262505_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226002527_102262527_QW01_QW015_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226002528_102262528_QW01_QW015_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226002529_102262529_QW01_QW015_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226002540_102262540_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226002570_102262570_QW01_QW014_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226002608_102262608_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226002754_102262754_QW01_QW016_LongIslandCity,LongIslandCity,Long Island City
10226002798_102262798_QW01_QW015_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226002799_102262799_QW01_QW015_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226002847_102262847_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226002988_102262988_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226003196_102263196_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226003201_102263201_QW01_QW016_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226003202_102263202_QW01_QW014_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226003359_102263359_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226003360_102263360_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226003361_102263361_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226003420_102263420_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226003422_102263422_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226003534_102263534_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226003563_102263563_QW01_QW016_LongIslandCity,LongIslandCity,Long Island City
10226003666_102263666_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226003712_102263712_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226003821_102263821_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226004157_102264157_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226004158_102264158_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226004175_102264175_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226004176_102264176_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226004252_102264252_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226004367_102264367_QW01_QW015_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226004567_102264567_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226004769_102264769_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226005033_102265033_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226005198_102265198_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226005210_102265210_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226005372_102265372_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226005436_102265436_QW01_QW016_LongIslandCity,LongIslandCity,Long Island City
10226005574_102265574_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226005605_102265605_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
