,BidName,BidHumanName
0,,
1,DUMBO,DUMBO
2,DowntownAlliance,Downtown Alliance BID
3,Chinatown,Chinatown
4,HudsonSquare,Hudson Square
5,SoHoBroadway,SoHo Broadway BID
6,NoHo,NoHo BID
7,VillageAlliance,Village Alliance BID
8,Meatpacking,Meatpacking BID
9,14thStreet,14th Street BID
10,LowerEastSide,Lower East Side BID
11,Flatiron23rdStreetPartnership,Flatiron/23rd Street Partnership
12,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
13,34thStreet,34th Street BID
14,GarmentDistrict,Garment District
15,TimesSquare,Times Square BID
16,LincolnSquare,Lincoln Square BID
17,BryantPark,Bryant Park BID
18,GrandCentralPartnership,Grand Central Partnership
19,5thAvenue,5th Avenue BID
20,EastMidManhattan,East Mid-Manhattan BID
21,MadisonAvenue,Madison Avenue BID
22,47thStreet,47th Street BID
23,LongIslandCity,Long Island City
24,DowntownFlushing,Downtown Flushing
25,BaysideVillage,Bayside Village
26,SteinwayStreet,Steinway Street BID
27,SunnysideShines,Sunnyside Shines
