_record_id,_project_id,_assigned_to_id,_status,_latitude,_longitude,_created_at,_updated_at,_version,_updated_by_id,_server_created_at,_server_updated_at,_title,currentmonth,currentyear,stop_number,blockface_title,bid_identifier,bid_algorithm_flag,borough,district_no,section_no,blockface,street_1,sidewalk_1,street_2,sidewalk_2,street_3,sidewalk_3,street_4,sidewalk_4,LogTime
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,0,19226007348_192260734_BKN17_BKN172,19226007348_192260734_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,5,5,5,5,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,1,20226005189_202260518_BKN17_BKN172,20226005189_202260518_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.5,1.5,1.5,1.2,1.2,1.2,1.2,1.2,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,2,20226002426_202260242_BKN17_BKN172,20226002426_202260242_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.2,1.2,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,3,20226004507_202260450_BKN17_BKN172,20226004507_202260450_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.2,1.2,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,4,20227000583_202270058_BKN17_BKN172,20227000583_202270058_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.5,1.2,1.2,1.2,1.5,1.2,1.2,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,5,20226002787_202260278_BKN17_BKN172,20226002787_202260278_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.5,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,6,20226006880_202260688_BKN17_BKN172,20226006880_202260688_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.2,1.2,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,7,20226008597_202260859_BKN17_BKN172,20226008597_202260859_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.5,1.5,1.2,1.5,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,8,20226008598_202260859_BKN17_BKN172,20226008598_202260859_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,9,20226002489_202260248_BKN17_BKN172,20226002489_202260248_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,10,20226001978_202260197_BKN17_BKN172,20226001978_202260197_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,11,20226003553_202260355_BKN17_BKN172,20226003553_202260355_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,5,5,5,5,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,12,20226010329_202261032_BKN17_BKN172,20226010329_202261032_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,5,5,5,5,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,13,19226001873_192260187_BKN17_BKN172,19226001873_192260187_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,14,20226013934_202261393_BKN17_BKN172,20226013934_202261393_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.2,1.2,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,15,19226009119_192260911_BKN17_BKN172,19226009119_192260911_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.5,1.2,1.5,1.2,1.2,1.2,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,16,19226003818_192260381_BKN17_BKN172,19226003818_192260381_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,17,20226005368_202260536_BKN17_BKN172,20226005368_202260536_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,18,20226002211_202260221_BKN17_BKN172,20226002211_202260221_BKN17_BKN172_NA,,Brooklyn,BKN17,BKN172,,1.2,1.2,1.2,1.2,,,,,
