Borough,District,Month,PercentAcceptablyCleanStreets,PercentFilthyStreets,PercentAcceptablyCleanSidewalks,PercentFilthySidewalks,ChangeInPercentCleanStreetsYearly,ChangeInPercentCleanSidewalksYearly,ThreeMonthAveragePercentCleanStreets,ThreeMonthAveragePercentCleanSidewalks,ChangeIn3MonthAverageCleanStreets,ChangeIn3MonthAverageCleanSidewalks
Manhattan,MN01,202111,,,,,,,,,,
Manhattan,MN02,202111,,,,,,,,,,
Manhattan,MN03,202111,,,,,,,,,,
Manhattan,MN04,202111,,,,,,,,,,
Manhattan,MN05,202111,,,,,,,,,,
Manhattan,MN06,202111,,,,,,,,,,
Manhattan,MN07,202111,,,,,,,,,,
Manhattan,MN08,202111,,,,,,,,,,
Manhattan,MN09,202111,,,,,,,,,,
Manhattan,MN10,202111,,,,,,,,,,
Manhattan,MN11,202111,,,,,,,,,,
Manhattan,MN12,202111,,,,,,,,,,
Bronx,BX01,202111,,,,,,,,,,
Bronx,BX02,202111,,,,,,,,,,
Bronx,BX03,202111,,,,,,,,,,
Bronx,BX04,202111,,,,,,,,,,
Bronx,BX05,202111,,,,,,,,,,
Bronx,BX06,202111,,,,,,,,,,
Bronx,BX07,202111,,,,,,,,,,
Bronx,BX08,202111,,,,,,,,,,
Bronx,BX09,202111,,,,,,,,,,
Bronx,BX10,202111,,,,,,,,,,
Bronx,BX11,202111,,,,,,,,,,
Bronx,BX12,202111,,,,,,,,,,
Brooklyn,BKN01,202111,,,,,,,,,,
Brooklyn,BKN02,202111,,,,,,,,,,
Brooklyn,BKN03,202111,,,,,,,,,,
Brooklyn,BKN04,202111,,,,,,,,,,
Brooklyn,BKN05,202111,,,,,,,,,,
Brooklyn,BKS06,202111,,,,,,,,,,
Brooklyn,BKS07,202111,,,,,,,,,,
Brooklyn,BKN08,202111,,,,,,,,,,
Brooklyn,BKN09,202111,,,,,,,,,,
Brooklyn,BKS10,202111,,,,,,,,,,
Brooklyn,BKS11,202111,,,,,,,,,,
Brooklyn,BKS12,202111,,,,,,,,,,
Brooklyn,BKS13,202111,,,,,,,,,,
Brooklyn,BKS14,202111,,,,,,,,,,
Brooklyn,BKS15,202111,,,,,,,,,,
Brooklyn,BKN16,202111,,,,,,,,,,
Brooklyn,BKN17,202111,100,0,93.8,0,0,0,81.9,78.1,6.9,-6.3
Brooklyn,BKS18,202111,,,,,,,,,,
Queens,QW01,202111,100,0,92.3,0,14.3,13.7,92.9,85.3,33.3,14.6
Queens,QW02,202111,,,,,,,,,,
Queens,QW03,202111,,,,,,,,,,
Queens,QW04,202111,85.4,0,97.5,0,1.4,-0.2,76.3,90.3,12.7,2.6
Queens,QW05,202111,,,,,,,,,,
Queens,QW06,202111,,,,,,,,,,
Queens,QE07,202111,,,,,,,,,,
Queens,QE08,202111,,,,,,,,,,
Queens,QW09,202111,,,,,,,,,,
Queens,QE10,202111,,,,,,,,,,
Queens,QE11,202111,,,,,,,,,,
Queens,QE12,202111,,,,,,,23.6,39.3,-1.4,1.2
Queens,QE13,202111,,,,,,,,,,
Queens,QE14,202111,,,,,,,,,,
Staten Island,SI01,202111,,,,,,,,,,
Staten Island,SI02,202111,,,,,,,,,,
Staten Island,SI03,202111,,,,,,,,,,
