SECTION,MONTH,STREET_RATING_AVG,STREETS_CNT,STREETS_ACCEPTABLE_CNT,STREETS_ACCEPTABLE_MILES,STREETS_FILTHY_MILES,STREETS_FILTHY_CNT,SIDEWALK_RATING_AVG,SIDEWALKS_CNT,SIDEWALKS_ACCEPTABLE_CNT,SIDEWALKS_ACCEPTABLE_MILES,SIDEWALKS_FILTHY_CNT,SIDEWALKS_FILTHY_MILES,LINEAR_MILES
BKN011,,,,,,,,,,,,,,29.088
BKN012,,,,,,,,,,,,,,27.975
BKN013,,,,,,,,,,,,,,42.984
BKN014,,,,,,,,,,,,,,28.138
BKN015,,,,,,,,,,,,,,35.618
BKN021,,,,,,,,,,,,,,48.657
BKN022,,,,,,,,,,,,,,14.148
BKN023,,,,,,,,,,,,,,13.31
BKN024,,,,,,,,,,,,,,34.251
BKN031,,,,,,,,,,,,,,25.24
BKN032,,,,,,,,,,,,,,15.675
BKN033,,,,,,,,,,,,,,21.203
BKN034,,,,,,,,,,,,,,19.339
BKN035,,,,,,,,,,,,,,20.463
BKN041,,,,,,,,,,,,,,21.358
BKN042,,,,,,,,,,,,,,23.057
BKN043,,,,,,,,,,,,,,19.217
BKN051,,,,,,,,,,,,,,38.833
BKN052,,,,,,,,,,,,,,34.065
BKN053,,,,,,,,,,,,,,56.913
BKN054,,,,,,,,,,,,,,57.295
BKN081,,,,,,,,,,,,,,17.279
BKN082,,,,,,,,,,,,,,16.7
BKN083,,,,,,,,,,,,,,18.851
BKN091,,,,,,,,,,,,,,21.16
BKN092,,,,,,,,,,,,,,16.031
BKN093,,,,,,,,,,,,,,18.195
BKN161,,,,,,,,,,,,,,35.462
BKN162,,,,,,,,,,,,,,35.477
BKN171,,,,,,,,,,,,,,16.774
BKN172,202111,1.233,16,16,13.361,0,0,1.242,16,15,12.526,0,0,13.361
BKN173,,,,,,,,,,,,,,30.343
BKN174,,,,,,,,,,,,,,12.523
BKN175,,,,,,,,,,,,,,33.73
BKS061,,,,,,,,,,,,,,39.478
BKS062,,,,,,,,,,,,,,17.33
BKS063,,,,,,,,,,,,,,17.87
BKS064,,,,,,,,,,,,,,17.069
BKS065,,,,,,,,,,,,,,14.404
BKS071,,,,,,,,,,,,,,25.453
BKS072,,,,,,,,,,,,,,37.391
BKS073,,,,,,,,,,,,,,16.368
BKS074,,,,,,,,,,,,,,19.321
BKS101,,,,,,,,,,,,,,29.739
BKS102,,,,,,,,,,,,,,27.409
BKS103,,,,,,,,,,,,,,44.791
BKS104,,,,,,,,,,,,,,46.656
BKS111,,,,,,,,,,,,,,15.041
BKS112,,,,,,,,,,,,,,18.872
BKS113,,,,,,,,,,,,,,14.916
BKS114,,,,,,,,,,,,,,23.339
BKS115,,,,,,,,,,,,,,26.268
BKS116,,,,,,,,,,,,,,21.019
BKS121,,,,,,,,,,,,,,16.213
BKS122,,,,,,,,,,,,,,12.127
