BOROUGH,DISTRICT,SECTION,MONTH,STREET_RATING_AVG,STREETS_CNT,STREETS_ACCEPTABLE_CNT,STREETS_ACCEPTABLE_MILES,STREETS_FILTHY_MILES,STREETS_FILTHY_CNT,SIDEWALKS_RATING_AVG,SIDEWALKS_CNT,SIDEWALKS_ACCEPTABLE_CNT,SIDEWALKS_ACCEPTABLE_MILES,SIDEWALKS_FILTHY_CNT,SIDEWALKS_FILTHY_MILES,LINEAR_MILES
,,BKN011,,,,,,,,,,,,,,
,,BKN012,,,,,,,,,,,,,,
,,BKN013,,,,,,,,,,,,,,
,,BKN014,,,,,,,,,,,,,,
,,BKN015,,,,,,,,,,,,,,
,,BKN021,,,,,,,,,,,,,,
,,BKN022,,,,,,,,,,,,,,
,,BKN023,,,,,,,,,,,,,,
,,BKN024,,,,,,,,,,,,,,
,,BKN031,,,,,,,,,,,,,,
,,BKN032,,,,,,,,,,,,,,
,,BKN033,,,,,,,,,,,,,,
,,BKN034,,,,,,,,,,,,,,
,,BKN035,,,,,,,,,,,,,,
,,BKN041,,,,,,,,,,,,,,
,,BKN042,,,,,,,,,,,,,,
,,BKN043,,,,,,,,,,,,,,
,,BKN051,,,,,,,,,,,,,,
,,BKN052,,,,,,,,,,,,,,
,,BKN053,,,,,,,,,,,,,,
,,BKN054,,,,,,,,,,,,,,
,,BKN081,,,,,,,,,,,,,,
,,BKN082,,,,,,,,,,,,,,
,,BKN083,,,,,,,,,,,,,,
,,BKN091,,,,,,,,,,,,,,
,,BKN092,,,,,,,,,,,,,,
,,BKN093,,,,,,,,,,,,,,
,,BKN161,,,,,,,,,,,,,,
,,BKN162,,,,,,,,,,,,,,
,,BKN171,,,,,,,,,,,,,,
Brooklyn,BKN17,BKN172,202111,1.233,16,16,13.361,0,0,1.242,16,15,12.526,0,0,13.361
,,BKN173,,,,,,,,,,,,,,
,,BKN174,,,,,,,,,,,,,,
,,BKN175,,,,,,,,,,,,,,
,,BKS061,,,,,,,,,,,,,,
,,BKS062,,,,,,,,,,,,,,
,,BKS063,,,,,,,,,,,,,,
,,BKS064,,,,,,,,,,,,,,
,,BKS065,,,,,,,,,,,,,,
,,BKS071,,,,,,,,,,,,,,
,,BKS072,,,,,,,,,,,,,,
,,BKS073,,,,,,,,,,,,,,
,,BKS074,,,,,,,,,,,,,,
,,BKS101,,,,,,,,,,,,,,
,,BKS102,,,,,,,,,,,,,,
,,BKS103,,,,,,,,,,,,,,
,,BKS104,,,,,,,,,,,,,,
,,BKS111,,,,,,,,,,,,,,
,,BKS112,,,,,,,,,,,,,,
,,BKS113,,,,,,,,,,,,,,
,,BKS114,,,,,,,,,,,,,,
,,BKS115,,,,,,,,,,,,,,
,,BKS116,,,,,,,,,,,,,,
,,BKS121,,,,,,,,,,,,,,
,,BKS122,,,,,,,,,,,,,,
,,BKS123,,,,,,,,,,,,,,
,,BKS124,,,,,,,,,,,,,,
,,BKS125,,,,,,,,,,,,,,
,,BKS126,,,,,,,,,,,,,,
,,BKS131,,,,,,,,,,,,,,
,,BKS132,,,,,,,,,,,,,,
,,BKS141,,,,,,,,,,,,,,
,,BKS142,,,,,,,,,,,,,,
,,BKS143,,,,,,,,,,,,,,
,,BKS144,,,,,,,,,,,,,,
,,BKS151,,,,,,,,,,,,,,
,,BKS152,,,,,,,,,,,,,,
,,BKS153,,,,,,,,,,,,,,
,,BKS154,,,,,,,,,,,,,,
,,BKS155,,,,,,,,,,,,,,
,,BKS181,,,,,,,,,,,,,,
,,BKS182,,,,,,,,,,,,,,
,,BKS183,,,,,,,,,,,,,,
,,BKS184,,,,,,,,,,,,,,
,,BKS185,,,,,,,,,,,,,,
,,BKS186,,,,,,,,,,,,,,
,,BKS187,,,,,,,,,,,,,,
,,BX011,,,,,,,,,,,,,,
,,BX012,,,,,,,,,,,,,,
,,BX021,,,,,,,,,,,,,,
,,BX031,,,,,,,,,,,,,,
,,BX041,,,,,,,,,,,,,,
,,BX042,,,,,,,,,,,,,,
,,BX043,,,,,,,,,,,,,,
,,BX051,,,,,,,,,,,,,,
,,BX052,,,,,,,,,,,,,,
,,BX053,,,,,,,,,,,,,,
,,BX061,,,,,,,,,,,,,,
,,BX062,,,,,,,,,,,,,,
,,BX071,,,,,,,,,,,,,,
,,BX072,,,,,,,,,,,,,,
,,BX073,,,,,,,,,,,,,,
,,BX081,,,,,,,,,,,,,,
,,BX082,,,,,,,,,,,,,,
,,BX083,,,,,,,,,,,,,,
,,BX091,,,,,,,,,,,,,,
,,BX092,,,,,,,,,,,,,,
,,BX093,,,,,,,,,,,,,,
,,BX094,,,,,,,,,,,,,,
,,BX101,,,,,,,,,,,,,,
,,BX102,,,,,,,,,,,,,,
,,BX103,,,,,,,,,,,,,,
,,BX111,,,,,,,,,,,,,,
,,BX112,,,,,,,,,,,,,,
,,BX113,,,,,,,,,,,,,,
,,BX121,,,,,,,,,,,,,,
,,BX122,,,,,,,,,,,,,,
,,BX123,,,,,,,,,,,,,,
,,BX124,,,,,,,,,,,,,,
,,BX125,,,,,,,,,,,,,,
,,MN011,,,,,,,,,,,,,,
,,MN013,,,,,,,,,,,,,,
,,MN021,,,,,,,,,,,,,,
,,MN022,,,,,,,,,,,,,,
,,MN023,,,,,,,,,,,,,,
,,MN031,,,,,,,,,,,,,,
,,MN032,,,,,,,,,,,,,,
,,MN033,,,,,,,,,,,,,,
,,MN034,,,,,,,,,,,,,,
,,MN041,,,,,,,,,,,,,,
,,MN042,,,,,,,,,,,,,,
,,MN043,,,,,,,,,,,,,,
,,MN051,,,,,,,,,,,,,,
,,MN052,,,,,,,,,,,,,,
,,MN061,,,,,,,,,,,,,,
,,MN062,,,,,,,,,,,,,,
,,MN063,,,,,,,,,,,,,,
,,MN071,,,,,,,,,,,,,,
,,MN072,,,,,,,,,,,,,,
,,MN073,,,,,,,,,,,,,,
,,MN074,,,,,,,,,,,,,,
,,MN075,,,,,,,,,,,,,,
,,MN081,,,,,,,,,,,,,,
,,MN082,,,,,,,,,,,,,,
,,MN083,,,,,,,,,,,,,,
,,MN084,,,,,,,,,,,,,,
,,MN085,,,,,,,,,,,,,,
,,MN091,,,,,,,,,,,,,,
,,MN092,,,,,,,,,,,,,,
,,MN093,,,,,,,,,,,,,,
,,MN101,,,,,,,,,,,,,,
,,MN103,,,,,,,,,,,,,,
,,MN104,,,,,,,,,,,,,,
,,MN111,,,,,,,,,,,,,,
,,MN112,,,,,,,,,,,,,,
,,MN113,,,,,,,,,,,,,,
,,MN121,,,,,,,,,,,,,,
,,MN122,,,,,,,,,,,,,,
,,MN123,,,,,,,,,,,,,,
,,MN124,,,,,,,,,,,,,,
,,QE071,,,,,,,,,,,,,,
,,QE072,,,,,,,,,,,,,,
,,QE073,,,,,,,,,,,,,,
,,QE074,,,,,,,,,,,,,,
,,QE075,,,,,,,,,,,,,,
,,QE076,,,,,,,,,,,,,,
,,QE077,,,,,,,,,,,,,,
,,QE078,,,,,,,,,,,,,,
,,QE081,,,,,,,,,,,,,,
,,QE082,,,,,,,,,,,,,,
,,QE083,,,,,,,,,,,,,,
,,QE084,,,,,,,,,,,,,,
,,QE101,,,,,,,,,,,,,,
,,QE102,,,,,,,,,,,,,,
