_record_id,_project_id,_assigned_to_id,_status,_latitude,_longitude,_created_at,_updated_at,_version,_updated_by_id,_server_created_at,_server_updated_at,_title,currentmonth,currentyear,stop_number,blockface_title,bid_identifier,bid_algorithm_flag,borough,district_no,section_no,blockface,street_1,sidewalk_1,street_2,sidewalk_2,street_3,sidewalk_3,street_4,sidewalk_4,LogTime
,,,,40.799957,-73.962265,2021-12-27 14:45:34 ,2022-01-05 09:00 ,,,,,,1,2022,4,13226008130_132260813_MN07_MN075,13226008130_132260813_MN07_MN075_ColumbusAmsterdam,0,Manhattan,MN07,MN075,,1.2,1.2,1.2,1.2,,,,,
,,,,40.800285,-73.961173,2021-12-27 14:45:34 ,2022-01-05 09:00 ,,,,,,1,2022,5,13226004369_132260436_MN07_MN075,13226004369_132260436_MN07_MN075_ColumbusAmsterdam,0,Manhattan,MN07,MN075,,1.2,1.2,1.2,1.2,,,,,
,,,,40.800836,-73.960773,2021-12-27 14:45:34 ,2022-01-05 09:00 ,,,,,,1,2022,6,13226004367_132260436_MN07_MN075,13226004367_132260436_MN07_MN075_ColumbusAmsterdam,1,Manhattan,MN07,MN075,,1.2,1.2,1.2,1.2,,,,,
,,,,40.802695,-73.964161,2021-12-27 14:45:34 ,2022-01-05 09:00 ,,,,,,1,2022,7,13226003514_132260351_MN07_MN075,13226003514_132260351_MN07_MN075_ColumbusAmsterdam,0,Manhattan,MN07,MN075,,1.2,1.2,1.2,1.2,,,,,
,,,,40.796937,-73.969145,2021-12-27 14:45:47 ,2022-01-05 09:00 ,,,,,,1,2022,17,13226004900_132260490_MN07_MN075,13226004900_132260490_MN07_MN075_ColumbusAmsterdam,0,Manhattan,MN07,MN075,,5,5,1.2,1.2,,,,,
,,,,40.796964,-73.968366,2021-12-27 14:45:48 ,2022-01-05 09:00 ,,,,,,1,2022,18,13226004901_132260490_MN07_MN075,13226004901_132260490_MN07_MN075_ColumbusAmsterdam,0,Manhattan,MN07,MN075,,5,5,1.2,1.2,,,,,
,,,,40.797603,-73.967898,2021-12-27 14:45:48 ,2022-01-05 09:00 ,,,,,,1,2022,19,13226003011_132260301_MN07_MN075,13226003011_132260301_MN07_MN075_ColumbusAmsterdam,0,Manhattan,MN07,MN075,,5,5,1.2,1.2,,,,,
,,,,40.798193,-73.96823,2021-12-27 14:45:48 ,2022-01-05 09:00 ,,,,,,1,2022,20,13226005531_132260553_MN07_MN075,13226005531_132260553_MN07_MN075_ColumbusAmsterdam,0,Manhattan,MN07,MN075,,5,5,1.2,1.2,,,,,
,,,,40.799475,-73.967373,2021-12-27 14:45:48 ,2022-01-05 09:00 ,,,,,,1,2022,22,13226003946_132260394_MN07_MN075,13226003946_132260394_MN07_MN075_ColumbusAmsterdam,0,Manhattan,MN07,MN075,,5,5,1.2,1.2,,,,,
,,,,40.798565,-73.965212,2021-12-27 14:45:49 ,2022-01-05 09:00 ,,,,,,1,2022,23,13226004957_132260495_MN07_MN075,13226004957_132260495_MN07_MN075_ColumbusAmsterdam,1,Manhattan,MN07,MN075,,5,5,1.2,1.2,,,,,
,,,,40.797668,-73.963081,2021-12-27 14:45:49 ,2022-01-05 09:00 ,,,,,,1,2022,25,13226003789_132260378_MN07_MN075,13226003789_132260378_MN07_MN075_ColumbusAmsterdam,0,Manhattan,MN07,MN075,,1.8,1.8,1.2,1.2,1.8,1.8,,,
,,,,40.780012,-73.975044,2021-12-27 14:46:35 ,2022-01-05 09:00 ,,,,,,1,2022,0,13226002730_132260273_MN07_MN072,13226002730_132260273_MN07_MN072_ColumbusAvenue,1,Manhattan,MN07,MN072,,1.8,1.8,1.2,1.2,1.8,1.8,,,
,,,,40.781899,-73.977371,2021-12-27 14:46:35 ,2022-01-05 09:00 ,,,,,,1,2022,1,13226002182_132260218_MN07_MN072,13226002182_132260218_MN07_MN072_ColumbusAvenue,1,Manhattan,MN07,MN072,,1.8,1.8,1.2,1.2,1.8,1.8,,,
,,,,40.780281,-73.976574,2021-12-27 14:46:35 ,2022-01-05 09:00 ,,,,,,1,2022,2,13226006485_132260648_MN07_MN072,13226006485_132260648_MN07_MN072_ColumbusAvenue,1,Manhattan,MN07,MN072,,1.8,1.8,1.2,1.2,1.8,1.8,,,
