,currentmonth,currentyear,section_no,district_no,borough,st_rate_avg,st_count,st_count_accept,st_count_filthy,st_count_rated,sw_rate_avg,sw_count,sw_count_accept,sw_count_filthy,sw_count_rated,SECTION,LINEAR_MILES,linear_miles,street_rating_average,streets_acceptable_cnt,streets_acceptable_miles,streets_filthy_miles,streets_filthy_cnt,sidewalk_rating_avg,sidewalks_acceptable_cnt,sidewalks_acceptable_miles,sidewalks_filthy_miles,sidewalks_filthy_cnt,Borough,District,month
0,,,BKN011,,,,,,,,,,,,,BKN011,29.08803468,29.088,,,,,,,,,,,,,
1,,,BKN012,,,,,,,,,,,,,BKN012,27.97458702,27.975,,,,,,,,,,,,,
2,,,BKN013,,,,,,,,,,,,,BKN013,42.98376983,42.984,,,,,,,,,,,,,
3,,,BKN014,,,,,,,,,,,,,BKN014,28.13781871,28.138,,,,,,,,,,,,,
4,,,BKN015,,,,,,,,,,,,,BKN015,35.61769304,35.618,,,,,,,,,,,,,
5,,,BKN021,,,,,,,,,,,,,BKN021,48.65740775,48.657,,,,,,,,,,,,,
6,,,BKN022,,,,,,,,,,,,,BKN022,14.14798421,14.148,,,,,,,,,,,,,
7,,,BKN023,,,,,,,,,,,,,BKN023,13.31033179,13.31,,,,,,,,,,,,,
8,,,BKN024,,,,,,,,,,,,,BKN024,34.25061918,34.251,,,,,,,,,,,,,
9,,,BKN031,,,,,,,,,,,,,BKN031,25.23970014,25.24,,,,,,,,,,,,,
10,,,BKN032,,,,,,,,,,,,,BKN032,15.67502515,15.675,,,,,,,,,,,,,
11,,,BKN033,,,,,,,,,,,,,BKN033,21.20284976,21.203,,,,,,,,,,,,,
12,,,BKN034,,,,,,,,,,,,,BKN034,19.33884573,19.339,,,,,,,,,,,,,
13,,,BKN035,,,,,,,,,,,,,BKN035,20.46282387,20.463,,,,,,,,,,,,,
14,,,BKN041,,,,,,,,,,,,,BKN041,21.35814659,21.358,,,,,,,,,,,,,
15,,,BKN042,,,,,,,,,,,,,BKN042,23.05728224,23.057,,,,,,,,,,,,,
16,,,BKN043,,,,,,,,,,,,,BKN043,19.21657829,19.217,,,,,,,,,,,,,
17,,,BKN051,,,,,,,,,,,,,BKN051,38.83324435,38.833,,,,,,,,,,,,,
18,,,BKN052,,,,,,,,,,,,,BKN052,34.06451369,34.065,,,,,,,,,,,,,
19,,,BKN053,,,,,,,,,,,,,BKN053,56.91288709,56.913,,,,,,,,,,,,,
20,,,BKN054,,,,,,,,,,,,,BKN054,57.29479162,57.295,,,,,,,,,,,,,
21,,,BKN081,,,,,,,,,,,,,BKN081,17.27942094,17.279,,,,,,,,,,,,,
22,,,BKN082,,,,,,,,,,,,,BKN082,16.70042406,16.7,,,,,,,,,,,,,
23,,,BKN083,,,,,,,,,,,,,BKN083,18.85059733,18.851,,,,,,,,,,,,,
24,,,BKN091,,,,,,,,,,,,,BKN091,21.15954765,21.16,,,,,,,,,,,,,
25,,,BKN092,,,,,,,,,,,,,BKN092,16.03149019,16.031,,,,,,,,,,,,,
26,,,BKN093,,,,,,,,,,,,,BKN093,18.19544803,18.195,,,,,,,,,,,,,
27,,,BKN161,,,,,,,,,,,,,BKN161,35.46182498,35.462,,,,,,,,,,,,,
28,,,BKN162,,,,,,,,,,,,,BKN162,35.47679327,35.477,,,,,,,,,,,,,
29,,,BKN171,,,,,,,,,,,,,BKN171,16.77432016,16.774,,,,,,,,,,,,,
30,11.0,2021.0,BKN172,BKN17,Brooklyn,1.2328124999999996,16.0,16.0,0.0,16.0,1.2421874999999996,16.0,15.0,0.0,16.0,BKN172,13.36108594,13.361,1.233,16.0,13.361,0.0,0.0,1.242,15.0,12.526,0.0,0.0,Brooklyn,BKN17,202111.0
31,,,BKN173,,,,,,,,,,,,,BKN173,30.34296661,30.343,,,,,,,,,,,,,
32,,,BKN174,,,,,,,,,,,,,BKN174,12.52297467,12.523,,,,,,,,,,,,,
33,,,BKN175,,,,,,,,,,,,,BKN175,33.72961109,33.73,,,,,,,,,,,,,
34,,,BKS061,,,,,,,,,,,,,BKS061,39.4775309,39.478,,,,,,,,,,,,,
35,,,BKS062,,,,,,,,,,,,,BKS062,17.33025627,17.33,,,,,,,,,,,,,
36,,,BKS063,,,,,,,,,,,,,BKS063,17.87006038,17.87,,,,,,,,,,,,,
37,,,BKS064,,,,,,,,,,,,,BKS064,17.06938803,17.069,,,,,,,,,,,,,
38,,,BKS065,,,,,,,,,,,,,BKS065,14.40436052,14.404,,,,,,,,,,,,,
39,,,BKS071,,,,,,,,,,,,,BKS071,25.45331554,25.453,,,,,,,,,,,,,
40,,,BKS072,,,,,,,,,,,,,BKS072,37.39138966,37.391,,,,,,,,,,,,,
41,,,BKS073,,,,,,,,,,,,,BKS073,16.36778312,16.368,,,,,,,,,,,,,
42,,,BKS074,,,,,,,,,,,,,BKS074,19.32061702,19.321,,,,,,,,,,,,,
43,,,BKS101,,,,,,,,,,,,,BKS101,29.73858266,29.739,,,,,,,,,,,,,
44,,,BKS102,,,,,,,,,,,,,BKS102,27.40893309,27.409,,,,,,,,,,,,,
45,,,BKS103,,,,,,,,,,,,,BKS103,44.79130519,44.791,,,,,,,,,,,,,
46,,,BKS104,,,,,,,,,,,,,BKS104,46.65587291,46.656,,,,,,,,,,,,,
47,,,BKS111,,,,,,,,,,,,,BKS111,15.04122895,15.041,,,,,,,,,,,,,
48,,,BKS112,,,,,,,,,,,,,BKS112,18.872406,18.872,,,,,,,,,,,,,
49,,,BKS113,,,,,,,,,,,,,BKS113,14.91609649,14.916,,,,,,,,,,,,,
50,,,BKS114,,,,,,,,,,,,,BKS114,23.33869208,23.339,,,,,,,,,,,,,
51,,,BKS115,,,,,,,,,,,,,BKS115,26.26770407,26.268,,,,,,,,,,,,,
52,,,BKS116,,,,,,,,,,,,,BKS116,21.01911704,21.019,,,,,,,,,,,,,
53,,,BKS121,,,,,,,,,,,,,BKS121,16.2132404,16.213,,,,,,,,,,,,,
54,,,BKS122,,,,,,,,,,,,,BKS122,12.12666231,12.127,,,,,,,,,,,,,
55,,,BKS123,,,,,,,,,,,,,BKS123,14.78953126,14.79,,,,,,,,,,,,,
56,,,BKS124,,,,,,,,,,,,,BKS124,19.00596218,19.006,,,,,,,,,,,,,
57,,,BKS125,,,,,,,,,,,,,BKS125,19.30648161,19.306,,,,,,,,,,,,,
58,,,BKS126,,,,,,,,,,,,,BKS126,23.09547257,23.095,,,,,,,,,,,,,
59,,,BKS131,,,,,,,,,,,,,BKS131,30.89384489,30.894,,,,,,,,,,,,,
60,,,BKS132,,,,,,,,,,,,,BKS132,63.42335479,63.423,,,,,,,,,,,,,
61,,,BKS141,,,,,,,,,,,,,BKS141,17.11392413,17.114,,,,,,,,,,,,,
62,,,BKS142,,,,,,,,,,,,,BKS142,22.8574116,22.857,,,,,,,,,,,,,
63,,,BKS143,,,,,,,,,,,,,BKS143,26.05105922,26.051,,,,,,,,,,,,,
64,,,BKS144,,,,,,,,,,,,,BKS144,24.73821531,24.738,,,,,,,,,,,,,
65,,,BKS151,,,,,,,,,,,,,BKS151,26.54461232,26.545,,,,,,,,,,,,,
66,,,BKS152,,,,,,,,,,,,,BKS152,32.42849579,32.428,,,,,,,,,,,,,
67,,,BKS153,,,,,,,,,,,,,BKS153,46.80374853,46.804,,,,,,,,,,,,,
68,,,BKS154,,,,,,,,,,,,,BKS154,50.16488986,50.165,,,,,,,,,,,,,
69,,,BKS155,,,,,,,,,,,,,BKS155,23.67940715,23.679,,,,,,,,,,,,,
70,,,BKS181,,,,,,,,,,,,,BKS181,36.28211935,36.282,,,,,,,,,,,,,
71,,,BKS182,,,,,,,,,,,,,BKS182,30.7458293,30.746,,,,,,,,,,,,,
72,,,BKS183,,,,,,,,,,,,,BKS183,24.80039755,24.8,,,,,,,,,,,,,
73,,,BKS184,,,,,,,,,,,,,BKS184,44.10870047,44.109,,,,,,,,,,,,,
74,,,BKS185,,,,,,,,,,,,,BKS185,27.178988,27.179,,,,,,,,,,,,,
75,,,BKS186,,,,,,,,,,,,,BKS186,28.76015827,28.76,,,,,,,,,,,,,
76,,,BKS187,,,,,,,,,,,,,BKS187,47.30860012,47.309,,,,,,,,,,,,,
77,,,BX011,,,,,,,,,,,,,BX011,41.7537123,41.754,,,,,,,,,,,,,
78,,,BX012,,,,,,,,,,,,,BX012,48.72509503,48.725,,,,,,,,,,,,,
79,,,BX021,,,,,,,,,,,,,BX021,77.18765375,77.188,,,,,,,,,,,,,
80,,,BX031,,,,,,,,,,,,,BX031,54.88469039,54.885,,,,,,,,,,,,,
81,,,BX041,,,,,,,,,,,,,BX041,30.91224647,30.912,,,,,,,,,,,,,
82,,,BX042,,,,,,,,,,,,,BX042,22.68429223,22.684,,,,,,,,,,,,,
83,,,BX043,,,,,,,,,,,,,BX043,31.39230004,31.392,,,,,,,,,,,,,
84,,,BX051,,,,,,,,,,,,,BX051,30.51576275,30.516,,,,,,,,,,,,,
85,,,BX052,,,,,,,,,,,,,BX052,15.74421856,15.744,,,,,,,,,,,,,
86,,,BX053,,,,,,,,,,,,,BX053,12.72147001,12.721,,,,,,,,,,,,,
87,,,BX061,,,,,,,,,,,,,BX061,28.49195015,28.492,,,,,,,,,,,,,
88,,,BX062,,,,,,,,,,,,,BX062,38.32070813,38.321,,,,,,,,,,,,,
89,,,BX071,,,,,,,,,,,,,BX071,20.84137551,20.841,,,,,,,,,,,,,
90,,,BX072,,,,,,,,,,,,,BX072,31.21994192,31.22,,,,,,,,,,,,,
91,,,BX073,,,,,,,,,,,,,BX073,17.56390758,17.564,,,,,,,,,,,,,
92,,,BX081,,,,,,,,,,,,,BX081,17.39694793,17.397,,,,,,,,,,,,,
93,,,BX082,,,,,,,,,,,,,BX082,22.9509128,22.951,,,,,,,,,,,,,
94,,,BX083,,,,,,,,,,,,,BX083,62.36470288,62.365,,,,,,,,,,,,,
95,,,BX091,,,,,,,,,,,,,BX091,53.0249489,53.025,,,,,,,,,,,,,
96,,,BX092,,,,,,,,,,,,,BX092,26.22977819,26.23,,,,,,,,,,,,,
97,,,BX093,,,,,,,,,,,,,BX093,25.11076769,25.111,,,,,,,,,,,,,
98,,,BX094,,,,,,,,,,,,,BX094,51.68542122,51.685,,,,,,,,,,,,,
99,,,BX101,,,,,,,,,,,,,BX101,49.5299633,49.53,,,,,,,,,,,,,
100,,,BX102,,,,,,,,,,,,,BX102,76.83084868,76.831,,,,,,,,,,,,,
101,,,BX103,,,,,,,,,,,,,BX103,65.21733306,65.217,,,,,,,,,,,,,
102,,,BX111,,,,,,,,,,,,,BX111,34.1614364,34.161,,,,,,,,,,,,,
103,,,BX112,,,,,,,,,,,,,BX112,46.94876892,46.949,,,,,,,,,,,,,
104,,,BX113,,,,,,,,,,,,,BX113,34.64361021,34.644,,,,,,,,,,,,,
105,,,BX121,,,,,,,,,,,,,BX121,25.58992816,25.59,,,,,,,,,,,,,
106,,,BX122,,,,,,,,,,,,,BX122,28.4487445,28.449,,,,,,,,,,,,,
107,,,BX123,,,,,,,,,,,,,BX123,30.43515615,30.435,,,,,,,,,,,,,
108,,,BX124,,,,,,,,,,,,,BX124,25.73260859,25.733,,,,,,,,,,,,,
109,,,BX125,,,,,,,,,,,,,BX125,44.93416487,44.934,,,,,,,,,,,,,
110,,,MN011,,,,,,,,,,,,,MN011,48.65127396,48.651,,,,,,,,,,,,,
111,,,MN013,,,,,,,,,,,,,MN013,20.30429876,20.304,,,,,,,,,,,,,
112,,,MN021,,,,,,,,,,,,,MN021,24.28681127,24.287,,,,,,,,,,,,,
113,,,MN022,,,,,,,,,,,,,MN022,19.761355,19.761,,,,,,,,,,,,,
114,,,MN023,,,,,,,,,,,,,MN023,14.81261011,14.813,,,,,,,,,,,,,
115,,,MN031,,,,,,,,,,,,,MN031,31.82764753,31.828,,,,,,,,,,,,,
116,,,MN032,,,,,,,,,,,,,MN032,20.6330869,20.633,,,,,,,,,,,,,
117,,,MN033,,,,,,,,,,,,,MN033,18.3960421,18.396,,,,,,,,,,,,,
118,,,MN034,,,,,,,,,,,,,MN034,17.56914232,17.569,,,,,,,,,,,,,
119,,,MN041,,,,,,,,,,,,,MN041,12.61732824,12.617,,,,,,,,,,,,,
120,,,MN042,,,,,,,,,,,,,MN042,30.3456806,30.346,,,,,,,,,,,,,
121,,,MN043,,,,,,,,,,,,,MN043,24.69933014,24.699,,,,,,,,,,,,,
122,,,MN051,,,,,,,,,,,,,MN051,31.52283893,31.523,,,,,,,,,,,,,
123,,,MN052,,,,,,,,,,,,,MN052,39.00032456,39.0,,,,,,,,,,,,,
124,,,MN061,,,,,,,,,,,,,MN061,24.5669405,24.567,,,,,,,,,,,,,
125,,,MN062,,,,,,,,,,,,,MN062,28.10593448,28.106,,,,,,,,,,,,,
126,,,MN063,,,,,,,,,,,,,MN063,16.92796744,16.928,,,,,,,,,,,,,
127,,,MN071,,,,,,,,,,,,,MN071,22.71798255,22.718,,,,,,,,,,,,,
128,,,MN072,,,,,,,,,,,,,MN072,14.88613017,14.886,,,,,,,,,,,,,
129,,,MN073,,,,,,,,,,,,,MN073,16.35205426,16.352,,,,,,,,,,,,,
130,,,MN074,,,,,,,,,,,,,MN074,14.66115392,14.661,,,,,,,,,,,,,
131,,,MN075,,,,,,,,,,,,,MN075,16.51304299,16.513,,,,,,,,,,,,,
132,,,MN081,,,,,,,,,,,,,MN081,25.31100993,25.311,,,,,,,,,,,,,
133,,,MN082,,,,,,,,,,,,,MN082,14.84190886,14.842,,,,,,,,,,,,,
134,,,MN083,,,,,,,,,,,,,MN083,12.28130418,12.281,,,,,,,,,,,,,
135,,,MN084,,,,,,,,,,,,,MN084,9.887136431,9.887,,,,,,,,,,,,,
136,,,MN085,,,,,,,,,,,,,MN085,17.48704255,17.487,,,,,,,,,,,,,
137,,,MN091,,,,,,,,,,,,,MN091,16.50029014,16.5,,,,,,,,,,,,,
138,,,MN092,,,,,,,,,,,,,MN092,25.90103753,25.901,,,,,,,,,,,,,
139,,,MN093,,,,,,,,,,,,,MN093,17.09731614,17.097,,,,,,,,,,,,,
140,,,MN101,,,,,,,,,,,,,MN101,22.80815504,22.808,,,,,,,,,,,,,
141,,,MN103,,,,,,,,,,,,,MN103,12.58027394,12.58,,,,,,,,,,,,,
142,,,MN104,,,,,,,,,,,,,MN104,23.36084735,23.361,,,,,,,,,,,,,
143,,,MN111,,,,,,,,,,,,,MN111,26.99009416,26.99,,,,,,,,,,,,,
144,,,MN112,,,,,,,,,,,,,MN112,19.13104294,19.131,,,,,,,,,,,,,
145,,,MN113,,,,,,,,,,,,,MN113,37.15266573,37.153,,,,,,,,,,,,,
146,,,MN121,,,,,,,,,,,,,MN121,24.76626197,24.766,,,,,,,,,,,,,
147,,,MN122,,,,,,,,,,,,,MN122,36.55944173,36.559,,,,,,,,,,,,,
148,,,MN123,,,,,,,,,,,,,MN123,22.82070974,22.821,,,,,,,,,,,,,
149,,,MN124,,,,,,,,,,,,,MN124,24.65793814,24.658,,,,,,,,,,,,,
150,,,QE071,,,,,,,,,,,,,QE071,33.91463299,33.915,,,,,,,,,,,,,
151,,,QE072,,,,,,,,,,,,,QE072,34.70894626,34.709,,,,,,,,,,,,,
152,,,QE073,,,,,,,,,,,,,QE073,28.98212551,28.982,,,,,,,,,,,,,
153,,,QE074,,,,,,,,,,,,,QE074,31.6298625,31.63,,,,,,,,,,,,,
154,,,QE075,,,,,,,,,,,,,QE075,50.71091983,50.711,,,,,,,,,,,,,
155,,,QE076,,,,,,,,,,,,,QE076,55.08784436,55.088,,,,,,,,,,,,,
156,,,QE077,,,,,,,,,,,,,QE077,46.0705849,46.071,,,,,,,,,,,,,
157,,,QE078,,,,,,,,,,,,,QE078,56.27727686,56.277,,,,,,,,,,,,,
158,,,QE081,,,,,,,,,,,,,QE081,66.59655003,66.597,,,,,,,,,,,,,
159,,,QE082,,,,,,,,,,,,,QE082,43.85142237,43.851,,,,,,,,,,,,,
160,,,QE083,,,,,,,,,,,,,QE083,66.75575928,66.756,,,,,,,,,,,,,
161,,,QE084,,,,,,,,,,,,,QE084,60.03764685,60.038,,,,,,,,,,,,,
162,,,QE101,,,,,,,,,,,,,QE101,46.61866318,46.619,,,,,,,,,,,,,
163,,,QE102,,,,,,,,,,,,,QE102,38.66829245,38.668,,,,,,,,,,,,,
164,,,QE103,,,,,,,,,,,,,QE103,59.52097811,59.521,,,,,,,,,,,,,
165,,,QE104,,,,,,,,,,,,,QE104,45.88780118,45.888,,,,,,,,,,,,,
166,,,QE111,,,,,,,,,,,,,QE111,38.87028061,38.87,,,,,,,,,,,,,
167,,,QE112,,,,,,,,,,,,,QE112,40.33839101,40.338,,,,,,,,,,,,,
168,,,QE113,,,,,,,,,,,,,QE113,46.17172964,46.172,,,,,,,,,,,,,
169,,,QE114,,,,,,,,,,,,,QE114,74.3934282,74.393,,,,,,,,,,,,,
170,,,QE115,,,,,,,,,,,,,QE115,66.47194293,66.472,,,,,,,,,,,,,
171,,,QE116,,,,,,,,,,,,,QE116,43.32251861,43.323,,,,,,,,,,,,,
172,,,QE121,,,,,,,,,,,,,QE121,37.48386697,37.484,,,,,,,,,,,,,
173,,,QE122,,,,,,,,,,,,,QE122,40.30528402,40.305,,,,,,,,,,,,,
174,,,QE123,,,,,,,,,,,,,QE123,38.42954539,38.43,,,,,,,,,,,,,
