borough,borough_no,district_no,section_no,section_name,BoroDistrictSection,district_name
Bronx,1,1,1,BX011,1011,BX01
Bronx,1,1,2,BX012,1012,BX01
Bronx,1,1,3,BX013,1013,BX01
Bronx,1,2,1,BX021,1021,BX02
Bronx,1,2,2,BX022,1022,BX02
Bronx,1,3,1,BX031,1031,BX03
Bronx,1,3,3,BX033,1033,BX03
Bronx,1,4,1,BX041,1041,BX04
Bronx,1,4,2,BX042,1042,BX04
Bronx,1,4,3,BX043,1043,BX04
Bronx,1,5,1,BX051,1051,BX05
Bronx,1,5,2,BX052,1052,BX05
Bronx,1,5,3,BX053,1053,BX05
Bronx,1,6,1,BX061,1061,BX06
Bronx,1,6,2,BX062,1062,BX06
Bronx,1,7,1,BX071,1071,BX07
Bronx,1,7,2,BX072,1072,BX07
Bronx,1,7,3,BX073,1073,BX07
Bronx,1,7,4,BX074,1074,BX07
Bronx,1,8,1,BX081,1081,BX08
Bronx,1,8,2,BX082,1082,BX08
Bronx,1,8,3,BX083,1083,BX08
Bronx,1,9,1,BX091,1091,BX09
Bronx,1,9,2,BX092,1092,BX09
Bronx,1,9,3,BX093,1093,BX09
Bronx,1,9,4,BX094,1094,BX09
Bronx,1,10,1,BX101,1101,BX10
Bronx,1,10,2,BX102,1102,BX10
Bronx,1,10,3,BX103,1103,BX10
Bronx,1,11,1,BX111,1111,BX11
Bronx,1,11,2,BX112,1112,BX11
Bronx,1,11,3,BX113,1113,BX11
Bronx,1,12,1,BX121,1121,BX12
Bronx,1,12,2,BX122,1122,BX12
Bronx,1,12,3,BX123,1123,BX12
Bronx,1,12,4,BX124,1124,BX12
Bronx,1,12,5,BX125,1125,BX12
Brooklyn,2,1,1,BKN011,2011,BKN01
Brooklyn,2,1,2,BKN012,2012,BKN01
Brooklyn,2,1,3,BKN013,2013,BKN01
Brooklyn,2,1,4,BKN014,2014,BKN01
Brooklyn,2,1,5,BKN015,2015,BKN01
Brooklyn,2,1,6,BKN016,2016,BKN01
Brooklyn,2,2,1,BKN021,2021,BKN02
Brooklyn,2,2,2,BKN022,2022,BKN02
Brooklyn,2,2,3,BKN023,2023,BKN02
Brooklyn,2,2,4,BKN024,2024,BKN02
Brooklyn,2,2,5,BKN025,2025,BKN02
Brooklyn,2,2,6,BKN026,2026,BKN02
Brooklyn,2,3,1,BKN031,2031,BKN03
Brooklyn,2,3,2,BKN032,2032,BKN03
Brooklyn,2,3,3,BKN033,2033,BKN03
